# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12451310811
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0___lam__1___boxed                                                                                                                                                                                                                                           -      -
     0.04%  [.] mi_arenas_try_find_free(mi_heap_s*, unsigned long, unsigned long, bool, bool, mi_arena_s*, unsigned long, int, mi_memid_s*)                                                                                                                                                                                                                                                                             -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__2___redArg                                                                                                                                                                                                                                                            -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_chooseTarget                                                                                                                                                                                                                                                                                                                                                           -      -
     0.03%  [.] l_Std_DTreeMap_Internal_Impl_insert___at___00Lean_NameMap_insert_spec__0___redArg                                                                                                                                                                                                                                                                                                                       -      -
     0.03%  [.] lean_st_ref_take                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.03%  [.] lean_io_prim_handle_get_line                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.03%  [.] std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >::push_back(char)                                                                                                                                                                                                                                                                                                  -      -
     0.00%  [.] _dl_relocate_object_no_relro                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.00%  [.] __GI___tunables_init                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.00%  [.] _dl_start                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.00%  [k] 0xffffffffae201280                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                                                                                  -      -


#
# (Tip: To show time in nanoseconds in record/report add --ns)
#
